trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-81.08816625851898,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-170.40197694255446,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-156.25676636398254,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-87.11083460520138,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-6.579956250528884,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-132.47651177134358,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.72758702339043,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-189.71375898092325,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-99.82723851531034,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-22.45937125074313,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-153.2628391587336,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-94.97722100024266,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,8,-34.77710278528878,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-155.70000271975127,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,22.97688181559739,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-38.48457274376066,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,-10.216632344683237,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-14.794308545077195,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-12.209730074076107,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-34.96935671222832,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-35.32475402319642,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,2,20.602732949143345,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-42.02915509619082,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,11,-19.250650105971992,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-92.94050448896155,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-33.73292321811213,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,12,-27.12196990867463,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-11.610850767020597,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-27.775017248096326,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,16,-6.72329337864088,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
