trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-149.84091289894135,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9900498337491681}",20,0,-81.8407167646014,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9801986733067553}",20,0,-30.794302410667857,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9704455335485082}",25,0,-50.47153579541863,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,0,-159.90078381139136,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.951229424500714}",20,0,-71.48672873666422,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9417645335842487}",30,8,-220.7600008202745,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 5}",1
8,False,"{'a': 0.1, 'e': 0.9323938199059483}",20,0,-157.86081045433164,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-122.05754876892927,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9139311852712282}",25,0,-162.96057586405445,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.9048374180359595}",30,0,-161.0698688001883,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.8958341352965282}",25,0,-70.06122260004851,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.8869204367171575}",20,0,-82.99278209589701,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.8780954309205613}",25,0,-172.47434835310906,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.8693582353988059}",25,0,-115.10424444656283,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8607079764250578}",35,0,-43.48088062708287,"{0: 29, 1: 0, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.8521437889662113}",25,0,-260.95429814082615,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
18,False,"{'a': 0.1, 'e': 0.8436648165963837}",30,0,-194.78916510519517,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.835270211411272}",25,6,-35.81732014191346,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.8269591339433623}",30,0,-82.00735534546708,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-107.83067394464597,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.8105842459701871}",20,5,-82.48288838718975,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.8025187979624785}",25,0,-124.85825105503335,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.794533602503334}",20,2,-76.72929380410869,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.7866278610665535}",25,0,-86.48088196661526,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.7788007830714049}",20,4,-42.921007671224594,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.7710515858035663}",25,0,-226.97432230839217,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
28,False,"{'a': 0.1, 'e': 0.7633794943368531}",25,1,-15.050344773412219,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.7557837414557255}",20,0,-38.309805475841266,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.7482635675785653}",20,0,-12.395665530357299,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
