trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.8810506937408,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,5,-215.48743882367035,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.61207196013339,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.95210215328478,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,16,-43.60391231449023,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.05873677870358,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.37348246605703,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.95650897070436,"{0: 13, 1: 2, 2: 6, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.2723198569353,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.48176798865586,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.87471088968539,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.3859642798502,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.54193099760076,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.08237103444725,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-49.92160098243571,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.1951484347564,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,12,-155.0041016883221,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.92768011068696,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,6,-100.5834654861027,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.09449170549884,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,4,-126.60772727870983,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.26512520549088,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.57554371297772,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-261.38697329530794,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,14,-72.78123357989695,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.51774896940302,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-221.12863820840292,"{0: 21, 1: 3, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.92940039702111,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-180.97120031213709,"{0: 19, 1: 4, 2: 10, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.663671214839,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
